date,risk_score,alert,true_label
2020-08-30,0.30043367,0,0.0
2020-08-31,0.33328807,0,0.0
2020-09-01,0.40349564,0,0.0
2020-09-02,0.53992456,1,0.0
2020-09-03,0.5793633,1,0.0
2020-09-04,0.59373313,1,0.0
2020-09-05,0.59553206,1,0.0
2020-09-06,0.4891467,0,0.0
2020-09-07,0.6631425,1,0.0
2020-09-08,0.7203041,1,0.0
2020-09-09,0.6297939,1,0.0
2020-09-10,0.5952519,1,0.0
2020-09-11,0.5430145,1,1.0
2020-09-12,0.5451263,1,1.0
2020-09-13,0.5396561,1,1.0
2020-09-14,0.46665028,0,1.0
2020-09-15,0.4280187,0,0.0
2020-09-16,0.42722034,0,0.0
2020-09-17,0.4090856,0,0.0
2020-09-18,0.40294334,0,0.0
2020-09-19,0.39009377,0,0.0
2020-09-20,0.39198393,0,0.0
2020-09-21,0.42253754,0,0.0
2020-09-22,0.44483435,0,0.0
2020-09-23,0.442992,0,0.0
2020-09-24,0.44783142,0,0.0
2020-09-25,0.45662308,0,0.0
2020-09-26,0.45561942,0,0.0
2020-09-27,0.43002364,0,0.0
2020-09-28,0.40335205,0,0.0
2020-09-29,0.372047,0,0.0
2020-09-30,0.34582558,0,0.0
2020-10-01,0.34257808,0,0.0
2020-10-02,0.3343798,0,0.0
2020-10-03,0.31048855,0,0.0
2020-10-04,0.34179595,0,0.0
2020-10-05,0.3397513,0,0.0
2020-10-06,0.35407928,0,0.0
2020-10-07,0.36017567,0,0.0
2020-10-08,0.333717,0,0.0
2020-10-09,0.37100917,0,0.0
2020-10-10,0.54842687,1,0.0
2020-10-11,0.6028466,1,0.0
2020-10-12,0.56890696,1,0.0
2020-10-13,0.5501965,1,0.0
2020-10-14,0.5996463,1,0.0
2020-10-15,0.6113288,1,0.0
2020-10-16,0.59873563,1,0.0
2020-10-17,0.5823769,1,0.0
2020-10-18,0.5610854,1,0.0
2020-10-19,0.5536444,1,0.0
2020-10-20,0.5462109,1,0.0
2020-10-21,0.39184394,0,0.0
2020-10-22,0.25791693,0,0.0
2020-10-23,0.2159677,0,0.0
2020-10-24,0.18496968,0,0.0
2020-10-25,0.19772743,0,0.0
2020-10-26,0.22490296,0,0.0
2020-10-27,0.18224257,0,0.0
2020-10-28,0.19874708,0,0.0
2020-10-29,0.24115784,0,0.0
2020-10-30,0.29931712,0,0.0
2020-10-31,0.37490466,0,0.0
2020-11-01,0.3897096,0,0.0
2020-11-02,0.38007948,0,0.0
2020-11-03,0.40322235,0,0.0
2020-11-04,0.3975475,0,0.0
2020-11-05,0.31312537,0,0.0
2020-11-06,0.039571613,0,0.0
2020-11-07,0.025600677,0,0.0
2020-11-08,0.005624734,0,0.0
2020-11-09,0.0011226304,0,0.0
2020-11-10,3.0046709e-05,0,0.0
2020-11-11,1.7823504e-05,0,0.0
2020-11-12,3.9147017e-06,0,0.0
2020-11-13,8.0149215e-07,0,0.0
2020-11-14,3.2197434e-08,0,0.0
2020-11-15,7.8396354e-08,0,0.0
2020-11-16,4.034818e-07,0,0.0
2020-11-17,3.288315e-07,0,0.0
2020-11-18,2.1830243e-07,0,0.0
2020-11-19,9.4988685e-08,0,0.0
2020-11-20,5.159105e-07,0,0.0
2020-11-21,4.9201253e-07,0,0.0
2020-11-22,1.2561646e-06,0,0.0
2020-11-23,4.03023e-07,0,0.0
2020-11-24,1.6644676e-06,0,0.0
2020-11-25,4.036138e-07,0,0.0
2020-11-26,4.737951e-06,0,0.0
2020-11-27,1.0512449e-06,0,0.0
2020-11-28,5.168933e-06,0,0.0
2020-11-29,1.2047512e-06,0,0.0
2020-11-30,1.3560578e-05,0,0.0
2020-12-01,4.48909e-06,0,0.0
2020-12-02,8.686214e-06,0,0.0
2020-12-03,8.56417e-07,0,0.0
2020-12-04,1.4879072e-06,0,0.0
2020-12-05,1.7993754e-07,0,0.0
2020-12-06,8.241607e-08,0,0.0
2020-12-07,8.32072e-09,0,0.0
2020-12-08,6.0188508e-09,0,0.0
2020-12-09,1.9681814e-09,0,0.0
2020-12-10,3.933683e-10,0,0.0
2020-12-11,1.9223527e-10,0,0.0
2020-12-12,5.58395e-11,0,0.0
2020-12-13,9.626161e-11,0,0.0
2020-12-14,1.7381615e-11,0,0.0
2020-12-15,3.3893766e-11,0,0.0
